3.09364020e-07,7.98393622e-08,2.51685227e-07,-5.45028125e-07,1.86744460e-07,4.47666233e-07,-9.07492383e-08,-1.42624343e-07,-2.21040330e-07,1.94399609e-07,7.21436410e-08,-2.44346114e-07,-2.08695029e-07,1.13762138e-07,3.45552906e-08,1.78749555e-07,-5.39035033e-09,-1.41136341e-07,1.78281506e-07,6.43349327e-09,-1.90543425e-08,1.59792213e-08,7.48528795e-08,3.91941770e-08,-3.15239261e-08,1.12714612e-08,5.26690376e-08,1.24258512e-07,-7.27802096e-09,-3.04437051e-08,-5.11798554e-09,7.00969324e-08,1.80595549e-09,-1.83899917e-08,-4.08857783e-09,-3.72743929e-08,-1.83232300e-08,2.25034220e-08,-2.89174045e-08,-1.81777981e-08,1.91583848e-08,-1.40748132e-08,-1.97733120e-08,8.25551491e-09,-2.16799812e-08,2.60085267e-09,5.07725985e-09,-2.58370532e-08,-4.88785788e-08,2.97817203e-08,-3.16338201e-08,1.04876916e-08,1.15148042e-08,-4.76078597e-09,4.80274046e-08
3.09499216e-07,8.23531218e-08,2.51581869e-07,-5.44981275e-07,1.87693577e-07,4.45675736e-07,-8.85598836e-08,-1.42626361e-07,-2.18844264e-07,1.96445293e-07,6.96729522e-08,-2.45587292e-07,-2.10198476e-07,1.14489024e-07,3.40141768e-08,1.78682558e-07,-6.39168940e-09,-1.41987080e-07,1.76812102e-07,4.37281287e-09,-1.90071314e-08,1.70798699e-08,7.51624604e-08,3.92890854e-08,-3.13191567e-08,1.08935369e-08,5.28718072e-08,1.24688641e-07,-6.38438761e-09,-3.03949703e-08,-4.15224853e-09,7.03190403e-08,2.31560848e-09,-1.75543481e-08,-3.29738514e-09,-3.73053913e-08,-1.81400632e-08,2.29442193e-08,-2.84331117e-08,-1.81465456e-08,1.96626822e-08,-1.47389593e-08,-1.99883124e-08,7.43697707e-09,-2.19893048e-08,3.31080878e-09,4.69629717e-09,-2.54590221e-08,-4.85819267e-08,3.01530418e-08,-3.12276621e-08,1.06319412e-08,1.12351950e-08,-4.54621521e-09,4.76383300e-08
3.09622068e-07,8.49070400e-08,2.51477461e-07,-5.44935409e-07,1.88612726e-07,4.43673314e-07,-8.63606815e-08,-1.42590625e-07,-2.16633856e-07,1.98507142e-07,6.71969830e-08,-2.46820735e-07,-2.11696784e-07,1.15239130e-07,3.34750083e-08,1.78597376e-07,-7.39689689e-09,-1.42825417e-07,1.75338259e-07,2.31828191e-09,-1.89611130e-08,1.81738884e-08,7.54337928e-08,3.93748181e-08,-3.11418994e-08,1.04978349e-08,5.30562199e-08,1.25097458e-07,-5.49402188e-09,-3.03346504e-08,-3.18914887e-09,7.05550013e-08,2.82963887e-09,-1.67041482e-08,-2.49986725e-09,-3.73070538e-08,-1.79648858e-08,2.33786440e-08,-2.79502920e-08,-1.81162905e-08,2.01679793e-08,-1.54113171e-08,-2.01945591e-08,6.58791727e-09,-2.22900737e-08,4.04984562e-09,4.32269431e-09,-2.50571683e-08,-4.82670670e-08,3.05238521e-08,-3.08179306e-08,1.07778477e-08,1.09435834e-08,-4.32782416e-09,4.72348389e-08
3.09733805e-07,8.74993491e-08,2.51373122e-07,-5.44888118e-07,1.89502880e-07,4.41661034e-07,-8.41503025e-08,-1.42519710e-07,-2.14408635e-07,2.00581565e-07,6.47193749e-08,-2.48043251e-07,-2.13188404e-07,1.16015764e-07,3.29366827e-08,1.78491032e-07,-8.40423709e-09,-1.43655134e-07,1.73860807e-07,2.74125325e-10,-1.89168138e-08,1.92650981e-08,7.56686209e-08,3.94549532e-08,-3.09934956e-08,1.00886554e-08,5.32235256e-08,1.25490696e-07,-4.60549031e-09,-3.02663658e-08,-2.22878577e-09,7.08002604e-08,3.34675179e-09,-1.58350116e-08,-1.69691704e-09,-3.72709910e-08,-1.77932311e-08,2.38110882e-08,-2.74671522e-08,-1.80814212e-08,2.06728578e-08,-1.60841752e-08,-2.03905316e-08,5.72156207e-09,-2.25885625e-08,4.81381946e-09,3.95820715e-09,-2.46363257e-08,-4.79338978e-08,3.08993153e-08,-3.04056287e-08,1.09346437e-08,1.06393122e-08,-4.10012056e-09,4.68149076e-08
3.09835339e-07,9.01297053e-08,2.51269312e-07,-5.44837476e-07,1.90365157e-07,4.39641681e-07,-8.19283573e-08,-1.42414155e-07,-2.12166587e-07,2.02667444e-07,6.22432180e-08,-2.49250638e-07,-2.14671563e-07,1.16822980e-07,3.23993131e-08,1.78362974e-07,-9.41317156e-09,-1.44476996e-07,1.72382364e-07,-1.75553319e-09,-1.88739252e-08,2.03568253e-08,7.58689736e-08,3.95343477e-08,-3.08739011e-08,9.67108241e-09,5.33771219e-08,1.25875222e-07,-3.71879146e-09,-3.01909389e-08,-1.26938389e-09,7.10537031e-08,3.86645998e-09,-1.49426726e-08,-8.89985755e-10,-3.71926238e-08,-1.76209240e-08,2.42476147e-08,-2.69814284e-08,-1.80355621e-08,2.11774633e-08,-1.67487652e-08,-2.05722950e-08,4.85281780e-09,-2.28885318e-08,5.60166461e-09,3.60291793e-09,-2.41975363e-08,-4.75804245e-08,3.12843704e-08,-2.99910946e-08,1.11070954e-08,1.03211292e-08,-3.86495871e-09,4.63760284e-08
3.09925468e-07,9.27930612e-08,2.51165223e-07,-5.44785351e-07,1.91202413e-07,4.37611336e-07,-7.96962081e-08,-1.42281183e-07,-2.09913975e-07,2.04762495e-07,5.97664385e-08,-2.50447651e-07,-2.16142356e-07,1.17654250e-07,3.18633272e-08,1.78204510e-07,-1.04252156e-08,-1.45293311e-07,1.70895519e-07,-3.76885558e-09,-1.88330869e-08,2.14457817e-08,7.60392911e-08,3.96068190e-08,-3.07827143e-08,9.23778868e-09,5.35117245e-08,1.26243578e-07,-2.83621149e-09,-3.01186752e-08,-3.20552566e-10,7.13122605e-08,4.38727166e-09,-1.40256781e-08,-7.80021986e-11,-3.70657836e-08,-1.74520752e-08,2.46810070e-08,-2.64884989e-08,-1.79862817e-08,2.16821328e-08,-1.74118531e-08,-2.07456350e-08,3.97238755e-09,-2.31888600e-08,6.40160996e-09,3.25446185e-09,-2.37442516e-08,-4.72171705e-08,3.16807365e-08,-2.95756331e-08,1.13019125e-08,9.99038248e-09,-3.61310086e-09,4.59210327e-08
3.10003083e-07,9.54838484e-08,2.51060273e-07,-5.44733365e-07,1.92017566e-07,4.35566242e-07,-7.74547309e-08,-1.42128565e-07,-2.07652272e-07,2.06864160e-07,5.72872044e-08,-2.51638830e-07,-2.17596796e-07,1.18504565e-07,3.13309135e-08,1.78006293e-07,-1.14411795e-08,-1.46106711e-07,1.69398797e-07,-5.76199940e-09,-1.87948170e-08,2.25288150e-08,7.61844175e-08,3.96664320e-08,-3.07171615e-08,8.78290582e-09,5.36217307e-08,1.26589034e-07,-1.95934383e-09,-3.00604614e-08,6.14972263e-10,7.15724189e-08,4.90774944e-09,-1.30799659e-08,7.43436155e-10,-3.68835519e-08,-1.72906058e-08,2.51044699e-08,-2.59829856e-08,-1.79395913e-08,2.21898955e-08,-1.80793373e-08,-2.09163823e-08,3.07532183e-09,-2.34948941e-08,7.20121101e-09,2.91119722e-09,-2.32805569e-08,-4.68467808e-08,3.20930253e-08,-2.91603877e-08,1.15265964e-08,9.65213755e-09,-3.33246144e-09,4.54532437e-08
3.10068519e-07,9.82053382e-08,2.50952005e-07,-5.44680677e-07,1.92809773e-07,4.33507045e-07,-7.52075513e-08,-1.41951801e-07,-2.05387231e-07,2.08973312e-07,5.48070140e-08,-2.52823012e-07,-2.19036006e-07,1.19375891e-07,3.08036857e-08,1.77773870e-07,-1.24652618e-08,-1.46915789e-07,1.67885492e-07,-7.73663768e-09,-1.87613604e-08,2.36069862e-08,7.63024828e-08,3.97140894e-08,-3.06758572e-08,8.30907364e-09,5.37156352e-08,1.26914381e-07,-1.09352837e-09,-3.00104128e-08,1.52849013e-09,7.18351312e-08,5.42453108e-09,-1.21083359e-08,1.56563852e-09,-3.66457973e-08,-1.71354912e-08,2.55189255e-08,-2.54680970e-08,-1.78918718e-08,2.27013798e-08,-1.87462845e-08,-2.10751933e-08,2.16366319e-09,-2.37965633e-08,8.00634123e-09,2.56739561e-09,-2.28057756e-08,-4.64786536e-08,3.25179509e-08,-2.87487705e-08,1.17808338e-08,9.29700727e-09,-3.02823339e-09,4.49652890e-08
3.10121929e-07,1.00958498e-07,2.50837529e-07,-5.44626752e-07,1.93579264e-07,4.31433726e-07,-7.29589834e-08,-1.41749636e-07,-2.03127480e-07,2.11089268e-07,5.23269621e-08,-2.53999851e-07,-2.20459584e-07,1.20268559e-07,3.02847306e-08,1.77508817e-07,-1.35026045e-08,-1.47720989e-07,1.66345312e-07,-9.69420439e-09,-1.87358079e-08,2.46809183e-08,7.63935221e-08,3.97497056e-08,-3.06555455e-08,7.81704620e-09,5.37999277e-08,1.27221244e-07,-2.45192203e-10,-2.99670990e-08,2.40705654e-09,7.20993048e-08,5.93313067e-09,-1.11132387e-08,2.37996365e-09,-3.63494291e-08,-1.69861570e-08,2.59242058e-08,-2.49445378e-08,-1.78416075e-08,2.32197445e-08,-1.94092343e-08,-2.12148049e-08,1.23625760e-09,-2.40854254e-08,8.81815354e-09,2.21612408e-09,-2.23213483e-08,-4.61270239e-08,3.29527102e-08,-2.83456677e-08,1.20676964e-08,8.91540755e-09,-2.70147914e-09,4.44495934e-08
3.10162739e-07,1.03744438e-07,2.50718355e-07,-5.44572336e-07,1.94325681e-07,4.29344427e-07,-7.07071028e-08,-1.41520637e-07,-2.00868418e-07,2.13216018e-07,4.98465165e-08,-2.55171356e-07,-2.21868006e-07,1.21181537e-07,2.97698191e-08,1.77213009e-07,-1.45506471e-08,-1.48517002e-07,1.64784245e-07,-1.16340924e-08,-1.87149192e-08,2.57493377e-08,7.64563826e-08,3.97705351e-08,-3.06617022e-08,7.30609266e-09,5.38737979e-08,1.27507780e-07,5.88171866e-10,-2.99288028e-08,3.25661411e-09,7.23705542e-08,6.43670769e-09,-1.00948267e-08,3.18833492e-09,-3.59980555e-08,-1.68442092e-08,2.63171666e-08,-2.44147489e-08,-1.77888864e-08,2.37380121e-08,-2.00687012e-08,-2.13365728e-08,2.97651181e-10,-2.43627027e-08,9.63803660e-09,1.86040738e-09,-2.18211173e-08,-4.57850916e-08,3.33972152e-08,-2.79470295e-08,1.23829738e-08,8.51049458e-09,-2.35421501e-09,4.39102443e-08
