5.66153824e-01,-1.14340615e+00,-3.68781149e-01,1.22557664e+00,9.14054930e-01,1.25674641e+00,-7.10717499e-01,-2.18745971e+00,-1.54180098e+00,-1.09673226e+00,2.21623588e+00,2.33058834e+00,1.71677089e+00,6.33001566e-01,2.14333367e+00,-3.81880832e+00,-1.25332737e+00,-2.00489402e+00,-2.89080358e+00,1.24914981e-01
3.20455194e-01,-6.51706696e-01,-1.10939123e-01,5.94870448e-01,2.76177913e-01,8.06044042e-01,-1.59605309e-01,-1.00608897e+00,-4.89305288e-01,-9.35074270e-01,8.10929835e-01,1.16454816e+00,3.57599109e-01,1.04047656e+00,7.52605200e-01,-1.25213003e+00,-1.66442439e-01,-1.33913291e+00,-5.96156836e-01,-1.11164773e+00
4.80729610e-01,-9.80104089e-01,-1.06246009e-01,9.27710891e-01,2.65988886e-01,1.19484746e+00,-1.77352592e-01,-1.59922957e+00,-4.66167927e-01,-1.33843267e+00,1.39659870e+00,1.81263208e+00,4.18056101e-01,1.41075814e+00,6.95687532e-01,-2.26742482e+00,-2.61244595e-01,-1.92265534e+00,-7.07570434e-01,-1.41485190e+00
3.94693375e-01,-8.07243347e-01,3.71924713e-15,7.13489771e-01,-3.33066907e-16,1.02940786e+00,3.49720253e-15,-1.19989014e+00,-7.10542736e-15,-1.26058555e+00,9.36473966e-01,1.40738690e+00,7.88258347e-15,1.51675177e+00,-9.47852907e-15,-1.43221593e+00,1.64313008e-14,-1.65888488e+00,-3.37507799e-14,-1.80385160e+00
4.80729610e-01,-9.80104089e-01,1.06246009e-01,9.27710891e-01,-2.65988886e-01,1.19484746e+00,1.77352592e-01,-1.59922957e+00,4.66167927e-01,-1.33843267e+00,1.39659870e+00,1.81263208e+00,-4.18056101e-01,1.41075814e+00,-6.95687532e-01,-2.26742482e+00,2.61244595e-01,-1.92265534e+00,7.07570434e-01,-1.41485190e+00
3.20455194e-01,-6.51706696e-01,1.10939123e-01,5.94870448e-01,-2.76177913e-01,8.06044042e-01,1.59605309e-01,-1.00608897e+00,4.89305288e-01,-9.35074270e-01,8.10929835e-01,1.16454816e+00,-3.57599109e-01,1.04047656e+00,-7.52605200e-01,-1.25213003e+00,1.66442439e-01,-1.33913291e+00,5.96156836e-01,-1.11164773e+00
5.66153824e-01,-1.14340615e+00,3.68781149e-01,1.22557664e+00,-9.14054930e-01,1.25674641e+00,7.10717499e-01,-2.18745971e+00,1.54180098e+00,-1.09673226e+00,2.21623588e+00,2.33058834e+00,-1.71677089e+00,6.33001566e-01,-2.14333367e+00,-3.81880832e+00,1.25332737e+00,-2.00489402e+00,2.89080358e+00,1.24914981e-01
4.93306667e-01,-8.89688551e-01,-5.33411264e-01,1.02540243e+00,1.18043911e+00,6.26026273e-01,-9.75076437e-01,-1.60806453e+00,-1.62315536e+00,9.27497223e-02,1.74445236e+00,1.06599045e+00,2.07410026e+00,-1.08752918e+00,1.58431256e+00,-2.62002182e+00,-1.61384892e+00,2.24269673e-01,-2.80039549e+00,2.02902746e+00
4.56634820e-01,-8.57448101e-01,-3.46462041e-01,8.07670355e-01,8.00569177e-01,8.36603105e-01,-4.79295075e-01,-1.24299371e+00,-1.25229502e+00,-5.76496363e-01,1.02390635e+00,1.14061165e+00,9.98717248e-01,8.80854204e-02,1.59780979e+00,-1.44472051e+00,-4.97759789e-01,-8.42633545e-01,-1.48800218e+00,5.84500015e-01
2.57770270e-01,-4.37529594e-01,-1.52313799e-01,2.62567461e-01,3.10687065e-01,3.91632438e-01,-7.19339550e-02,-1.74717441e-01,-4.15707737e-01,-2.68340439e-01,-1.74759820e-01,-7.75331333e-02,-2.29063928e-02,1.21757559e-01,4.38020021e-01,7.60488451e-01,2.26354301e-01,2.65062392e-01,3.24119449e-01,-1.08134523e-02
3.38377148e-01,-6.08071864e-01,-1.35130003e-01,3.93193394e-01,3.00464034e-01,6.35465741e-01,-9.15710777e-02,-4.09223616e-01,-4.67212945e-01,-5.82741976e-01,5.07092960e-02,2.11028561e-01,1.07986018e-01,4.55590576e-01,6.14090681e-01,2.93920368e-01,6.22554831e-02,7.27645913e-03,-4.13497388e-02,-2.59407431e-01
